CB2013,Drugs/Cannabis/Weed,NYS 1oz. SnappleKush + 1GRAM WAX(AKA BHO),Light green nugs.Good crystal profile.Use scissors.Indoor..Hybrid...RE/US only.,0.29293884,USA,,5.0/5,
CB2013,Drugs/Cannabis/Weed,1/2 oz. Purple Blackberry,Bomb purp..RE/US only..Indoor,0.15312712,USA,,5.0/5,
PacificPremium,Drugs/Cannabis/Weed,1oz (28g) -->Grade B  Indoor **24 HOUR SPECIAL PRICING** FREE SHIPPING  FULL ESCROW,What makes these buds 'Grade B'?? -Trimming quality not up to par. -Curing could have been done a little better.  This is extra inventory we helped some people out with and took off their hands.  ...,0.30195381,USA,USA,5.0/5,
brulz8,Services/Hacking,Proxy Software + login 250 proxies for 30 days 39$,With this listings i will provide you software + username and logincode wich you can use for 30 days or 250 diffrent proxies within the 30 days.  vendors thread http://i25c62nvu4cgeqyz.onion/viewt ...,0.091842899,World,,5.00/5,
keydemon,Services/Hacking,MASTERKEY X-TREME-AUS,MASTERKEY EXTREME-TO OPEN MAILBOXES/LETTERBOXES/FILING CABINETS/LOCKERS/DESK DRAWERS & DISPLAY CASES-SUNGLASSES WATCHES JEWELLERY..   THIS SWEET LITTLE PIECE OF HARDWARE  WILL OPEN MOST SINGLE/DOU ...,0.146011298,Australia,AUSTRALIA,5.00/5,
livinglarge,Services/Other,custom 2nd hotel+flight,penthouse suite las vegas + 5 roundtrips,6.89596522,,,5.00/5,Average price may be skewed outliar > .5 BTC found
optiman,Services/Other,Instagram Followers - The easy way to get famous,Does your friend has more followers then you? have you ever posted a photo and got a small amount of likes or comments ? Do you want to become popular?  Do you want all of your friends and family  ...,0.048202382,Internet,Instagram,5.00/5,
globalmethods,Services/Other,Order Addon - Super Stealth Packing,For what ever reason you may feel you need extra stealth  maybe delivering to your work  or have a nosey spouse. Whatever your reason we can step up the stealth so you won't even find it without our  ...,0.06,UK,,5.00/5,
livinglarge,Services/Other,Request eBay Service,You have to buy this listing in order to use my eBay Service. This is so that I know you have money  and I wont be wasting my time answering your questions. I was on Tormarket with over 300+ feedback ...,0.084896835,,,5.00/5,
5588,Services/Other,PRIORITY MAIL EXPRESS SHIPPING LABEL 11-B,THIS AUCTION IS FOR 50 PRIORITY EXPRESS SHIPPING LABELS  If you have less than 5 feedback you must FE. If this is your first time ordering from me then you must FE.   Shipping is free priority m ...,0.076227811,USA,,5.00/5,
ucard,Services/Other,✆PRIVATE CONSULTIN: SE~CARDIN~ATO~SECURITY~PTo~WARRANTY FRAUD✆,Alpha02 TCF moderator and reputed member now offerin private consultation.   If you want time for you to learn ask questions get accurate replies and information  and gettin better at this simply  ...,0.37471874,World,,5.00/5,
livinglarge,Services/Other,Request Custom Flight Booking,You have to buy this listing in order to book a flight. This is so that I know you have money  and I wont be wasting my time answering your questions. I was on Tormarket with over 300+ feedback  if t ...,0.06816768,Internet,,5.00/5,
echo,Services/Other,High quality PLA 3D prints by echo,I will anonymously 3D print anything for you with my handbuilt high resolution 3D printer. This printer uses a .35 mm nozzle with a .2 mm layer height  and produces strong  smooth prints every time.  ...,0.005307105,,,5.00/5,
missgreen,Services/Other,International Dummy letter,If you want a dummy letter just add in the comment box if you can organic materials in it or just a letter/b-day card etc.   Easy to see if you mail will be opened or if you address is flagged.,0.022301021,Netherlands,,5.00/5,
optiman,Services/Other,Facebook Followers - The easy way to get famous,Does your friend has more followers then you? have you ever posted a photo and got a small amount of Likes  while your friend are getting plenty of likes? Do you want to become popular? Do you wan ...,0.054541928,Internet,Facebook,5.00/5,
DutchDeal,Services/Other,Tracking Service with Signature.,Tracking Service with Signature when you want tracking.  DD.,0.068242944,Torland,,5.00/5,
optiman,Services/Other,YouTube Likes - BE FAMOUS!,Have you ever uploaded a video to YouTube? It's hard to get like  right? If you aren't famous or some public figure you won't get likes easily.   Have you ever came across some not interesting vid ...,0.086897743,Internet,YouTube,5.00/5,
optiman,Services/Other,Sound Plays - Get Famous!!,Have you ever uploaded your music to SoundCloud? It's hard to get plays  right? If you aren't famous or some public figure you won't get plays easily. Have you ever came across some shitty music o ...,0.03025467,Internet,SoundCloud,5.00/5,
livinglarge,Services/Other,huckle hotel booking,$989 ,3.437398635,,,5.00/5,Average price may be skewed outliar > .5 BTC found
livinglarge,Services/Other,PayPal & eBay Cashout Coaching Session,THIS IS THE BEST INVESTMENT YOU WILL EVER DO IN THE UNDERGROUND SCENE  PERIOD. THE AMOUNT YOU SPEND ON BUYING THIS  YOU WILL MAKE BACK WITHIN A MONTH IF YOU HAVE MULTIPLE COURIERS  OR TWO MONTHS BY D ...,18.84402425,,,5.00/5,Average price may be skewed outliar > .5 BTC found
optiman,Services/Other,Have something to sell? got an idea?,Got an idea to make money? have something to sell? Pm us.  Best wishes  Optiman,4564,Torland,,5.00/5,
optiman,Services/Other,Our hot girl will write on her boobs anything you want!,This is a very special listing! tell us what you want her to write on her breast and she will take a pic! The listing photo is real and it is her actual breast. She will write any message on her bo ...,0.068829976,Swaziland,Worldwide,5.00/5,
optiman,Services/Other,Twitter ReTweets - The easy way to get famous!,Does your friend has more ReTweets then you? have you ever posted a photo or a post and got a small amount of favorite  re-tweets or comments ? Do you want to become popular? Do you want all of yo ...,0.243309407,Internet,Twitter,5.00/5,
DrWhite,Services/Other,DrWhite's Darknet Computer Consulting Service,Darknet Security Consulting $30/hour  Get trained in computer/darknet use in the safety and convenience of Torchat!  I have a computer consulting background with a 3+ year expertise in darknet se ...,0.100583183,World,,5.00/5,
livinglarge,Services/Other,tubbymora hotel booking,$712 ,1.421803305,,,5.00/5,
5588,Services/Other,Priority Mail Shipping,This Auction/Listing is for the people that have not paid for shipping  Please buy this item which is 0.00 and click on priority mail shipping  Thank you.,0.003003681,USA,,5.00/5,
optiman,Services/Other,NETFLIX - Lifetime account for only 6$ !,The account is for LIFETIME ! If something went wrong and the the account ran out we guarantee to give you a new one. The real prices for Netflix are 7.99$/per month We are offering 6$ for lifetim ...,0.012310529,Torland,Worldwide,5.00/5,
brulz8,Services/Other,Anonymous SIM card,Anonymous polish SIM card. SHIPS SAME DAY ON WEEKDAYS!!! vendors thread http://i25c62nvu4cgeqyz.onion/viewtopic.php?id=1647 verify your account anonymously!!! Can be used worldwide. Easy reload ...,0.034750052,World,,5.00/5,
livinglarge,Services/Other,Request Custom Hotel Booking,You have to buy this listing in order to book a stay. This is so that I know you have money  and I wont be wasting my time answering your questions. I was on Tormarket with over 300+ feedback  if tha ...,0.067750151,Internet,,5.00/5,
echo,Services/Other,Ultra high quality 3D prints by echo,I will anonymously 3D print anything for you with my handbuilt ultra high resolution 3D printer. My printer creates models accurate to 50 microns and below  so clear and smooth they look like glass.  ...,0.036412506,,,5.00/5,
echo,Services/Other,psychedelic consulting with echo,Any question you have regarding psychedelic exploration  I can probably answer it. I have extensively engaged in the process alone and with friends in multiple countries in all types of set and setti ...,0.028881068,,,5.00/5,
echo,Services/Other,Request an ebook,I can convert any book from a physical version to a PDF or TXT version. Contact me for a price quote—it must cover the cost of the book as well as labor.,0.345258569,,,5.00/5,
FREE,Drugs/RCs,200gr. 2 FMA FREE SHIP WITH TRACK,2-Fluoromethamphetamine (2-FMA) is a stimulant drug from the amphetamine family which has rarely been found possessed as a designer drug.  This shipment is with tracking number. The shipment must b ...,3.368117086,China,,5.00/5,Average price may be skewed outliar > .5 BTC found
rainbowbear,Drugs/RCs,500 gram sample 4-FA 4-Fluoroamphetamine ( Free Shipping ),500 gram sample 4-FA 4-Fluoroamphetamine ( Free Shipping ) Must FE on all international orders. Tracking offered on 100 gram orders and up.,3.132404289,China,,5.00/5,Average price may be skewed outliar > .5 BTC found
FREE,Drugs/RCs,5gr. 2 FMA FREE SHIP WITH TRACK,This shipment is with tracking number. The shipment must be signed to receive it. In case that the track is stuck I offer 50% reship.,0.736322822,China,,5.00/5,
FREE,Drugs/RCs,10gr. 2 FMA FREE SHIP WITH TRACK,2-Fluoromethamphetamine (2-FMA) is a stimulant drug from the amphetamine family which has rarely been found possessed as a designer drug.  This shipment is with tracking number. The shipment must b ...,1.127405753,China,,5.00/5,
